# ==========================================================================
#  ROSSVILLE, ILLINOIS - THE TOWN ON ITS OWN STREET GRID
#
#  Not a grid that looks like Rossville - the actual one, taken from
#  OpenStreetMap and converted to metres about the crossing of Chicago Street
#  and Attica Street. That crossing is where the village numbers its addresses
#  from: East Attica ends and West Attica begins on exactly that longitude,
#  which is how the origin was found rather than assumed.
#
#  TWO THINGS THE REAL DATA GAVE THAT GUESSING WOULD NOT:
#
#    THE TOWN IS MOSTLY EAST OF ROUTE 1 - 780m east of Chicago Street and only
#    224m west. A symmetrical grid would have been wrong in a way you would feel
#    without being able to name it.
#
#    THE SPACING IS IRREGULAR - 104m Chicago to Harrison, 109 to Church, then
#    186 to Summit and 181 to Grove. Blocks average about 113m, not the 91m a
#    textbook 300-foot block gives, and the variation IS the character.
#
#  Several streets change name as they cross Route 1: McKibben east is McKibbin
#  west, Maple is Park Place, Gilbert is Perry, Stewart is Stufflebeam. Each is
#  emitted once under its eastern name, because the town is mostly east.
#
#  ONE SET OF LIGHTS, at Chicago and Attica. CitySignals requires both arms to be
#  a main road, so every other junction in the village is a stop sign.
#
#  THE WATER TOWER AND THE GRAIN ELEVATOR are the skyline. No tower block.
#
#  THE COUNTRY IS NEARLY EMPTY OF PEOPLE and that is right: Ross Township holds
#  1,617 against the village's 1,331, so 286 are spread over 42 square miles.
#  Seven to the square mile. It only adds up at county scale.
#
#  GROWS NORTH AND SOUTH: Chicago Street runs the full height of the map because
#  Hoopeston is six miles up it and Alvin five miles down it.
#
#  BOOTSTRAPPED by tools/relay-rossville.py on 2026-08-02; street positions in
#  tools/rossville-streets.json. THAT TOOL NO LONGER OWNS THIS FILE. Everything
#  since is authored here and here only - the roads moved onto their real rights
#  of way, fifteen alleys, Chicago Street's curve, the school, the downtown, the
#  1991 trades - and re-running the tool would replace the lot with a bootstrap.
#  It refuses to, and needs --write to be argued with. Edit THIS file.
# ==========================================================================

village Rossville
size 2100 2400

# ---- ground ---------------------------------------------------------------
# Field under everything - corn and beans to the horizon - grass over the village
# lots, and pavement ONLY at the crossroads. That last is load-bearing: CitySignals
# asks the ground at a junction's diagonals whether it is in a town, so paving the
# whole village would put lights on every corner of it.
terrain field 0,0 2100x2400
terrain water 148,1850 1x26
terrain water 147,1852 1x26
terrain water 146,1854 1x25
terrain water 145,1856 1x25
terrain water 144,1858 1x25
terrain water 143,1860 1x25
terrain water 142,1862 1x25
terrain water 141,1863 1x26
terrain water 140,1865 1x26
terrain water 139,1867 1x25
terrain water 138,1869 1x25
terrain water 137,1871 1x25
terrain water 136,1873 1x25
terrain water 135,1875 1x25
terrain water 134,1876 1x26
terrain water 133,1878 1x26
terrain water 132,1880 1x25
terrain water 131,1882 1x25
terrain water 130,1884 1x25
terrain water 129,1886 1x25
terrain water 128,1888 1x25
terrain water 127,1889 1x26
terrain water 126,1891 1x26
terrain water 125,1893 1x26
terrain water 124,1895 1x25
terrain water 123,1897 1x25
terrain water 122,1899 1x25
terrain water 121,1901 1x24
terrain water 120,1902 1x25
terrain water 119,1904 1x24
terrain water 118,1906 1x24
terrain water 117,1908 1x24
terrain water 116,1910 1x23
terrain water 115,1912 1x23
terrain water 114,1914 1x22
terrain water 113,1915 1x23
terrain water 112,1917 1x23
terrain water 111,1919 1x22
terrain water 110,1920 1x23
terrain water 109,1922 1x22
terrain water 108,1923 1x23
terrain water 107,1925 1x23
terrain water 106,1927 1x22
terrain water 105,1928 1x24
terrain water 104,1930 1x24
terrain water 103,1931 1x26
terrain water 102,1933 1x27
terrain water 101,1935 1x27
terrain water 100,1936 1x29
terrain water 99,1938 1x29
terrain water 98,1939 1x31
terrain water 97,1941 1x32
terrain water 96,1942 1x33
terrain water 95,1944 1x34
terrain water 94,1947 1x33
terrain water 93,1950 1x33
terrain water 92,1952 1x34
terrain water 91,1955 1x33
terrain water 90,1957 1x34
terrain water 89,1960 1x33
terrain water 88,1963 1x33
terrain water 87,1965 1x34
terrain water 86,1968 1x33
terrain water 85,1970 1x34
terrain water 84,1973 1x33
terrain water 83,1976 1x33
terrain water 82,1978 1x34
terrain water 81,1981 1x33
terrain water 80,1983 1x34
terrain water 79,1986 1x33
terrain water 78,1989 1x33
terrain water 77,1991 1x34
terrain water 76,1994 1x33
terrain water 75,1996 1x34
terrain water 74,1999 1x33
terrain water 73,2002 1x33
terrain water 72,2004 1x34
terrain water 71,2007 1x33
terrain water 70,2009 1x34
terrain water 69,2012 1x33
terrain water 68,2015 1x33
terrain water 67,2017 1x34
terrain water 66,2020 1x33
terrain water 65,2022 1x34
terrain water 64,2025 1x33
terrain water 63,2028 1x33
terrain water 62,2030 1x34
terrain water 61,2033 1x33
terrain water 60,2035 1x34
terrain water 59,2038 1x33
terrain water 58,2041 1x35
terrain water 57,2043 1x41
terrain water 56,2046 1x46
terrain water 55,2048 1x52
terrain water 54,2051 1x82
terrain water 53,2054 1x77
terrain water 52,2056 1x73
terrain water 51,2059 1x68
terrain water 50,2061 1x64
terrain water 49,2064 1x59
terrain water 48,2067 1x54
terrain water 47,2069 1x49
terrain water 46,2075 1x39
terrain water 45,2083 1x28
terrain water 44,2092 1x15
terrain water 43,2100 1x3
terrain water 55,2102 1x33
terrain water 56,2105 1x80
terrain water 57,2109 1x73
terrain water 58,2113 1x66
terrain water 59,2117 1x59
terrain water 60,2118 1x55
terrain water 61,2120 1x50
terrain water 62,2122 1x45
terrain water 63,2124 1x40
terrain water 64,2126 1x35
terrain water 65,2128 1x30
terrain water 66,2130 1x25
terrain water 67,2132 1x14
terrain water 55,2146 1x42
terrain water 54,2153 1x38
terrain water 53,2156 1x38
terrain water 52,2159 1x38
terrain water 51,2162 1x38
terrain water 50,2165 1x38
terrain water 49,2168 1x38
terrain water 48,2171 1x38
terrain water 47,2174 1x38
terrain water 46,2177 1x38
terrain water 45,2180 1x38
terrain water 44,2183 1x37
terrain water 43,2186 1x35
terrain water 42,2189 1x34
terrain water 41,2192 1x33
terrain water 40,2195 1x32
terrain water 39,2198 1x30
terrain water 38,2201 1x29
terrain water 37,2204 1x28
terrain water 36,2207 1x27
terrain water 35,2210 1x26
terrain water 34,2213 1x24
terrain water 33,2215 1x24
terrain water 32,2217 1x24
terrain water 31,2218 1x25
terrain water 30,2220 1x24
terrain water 29,2222 1x24
terrain water 28,2224 1x24
terrain water 27,2225 1x25
terrain water 26,2227 1x24
terrain water 25,2229 1x24
terrain water 24,2231 1x24
terrain water 23,2232 1x25
terrain water 22,2234 1x24
terrain water 21,2236 1x24
terrain water 20,2238 1x24
terrain water 19,2239 1x25
terrain water 18,2241 1x24
terrain water 17,2243 1x24
terrain water 16,2245 1x23
terrain water 15,2246 1x23
terrain water 14,2248 1x22
terrain water 13,2250 1x21
terrain water 12,2252 1x20
terrain water 11,2254 1x19
terrain water 10,2255 1x19
terrain water 9,2257 1x18
terrain water 8,2259 1x17
terrain water 7,2260 1x17
terrain water 6,2261 1x17
terrain water 5,2262 1x17
terrain water 4,2263 1x17
terrain water 3,2264 1x17
terrain water 2,2265 1x17
terrain water 1,2266 1x17
terrain water 0,2267 1x17

# ---- Illinois Route 1 and the cross street --------------------------------
# `mainroad` is a 30m corridor, one lane each way with lay-bys, which is what a
# two-lane state highway through a village is. Both run the full extent of the map:
# a state route does not stop at the village limit.
# ROUTE 1 AND CHICAGO STREET ARE ONE ROAD, AND IT IS NOT STRAIGHT.
# Outside the village it is Illinois Route 1; inside it, Chicago Street. Same road.
#
# IT RUNS DIAGONALLY THROUGH A SQUARE GRID, and that is not a contradiction - it is
# the whole history of the place. This road is the HUBBARD TRAIL: a footpath from
# 1829, Chicago to Danville, which became Illinois's first state highway in 1833.
# A footpath does not follow section lines. The town was platted square in 1857
# around a trail that was already there, so the grid is cardinal and the road that
# made the town cuts across it at about twenty degrees. See ROSSVILLE-HISTORY.md 1.
#
# Alignment from OpenStreetMap way 22037977 (ref=IL 1), projected into village metres
# about the Chicago/Attica crossing. Measured bearing: a constant +20 degrees from
# north of town down through the crossing and the downtown, then bending south of the
# commercial block - +21 at y1555, +17 at y1645, +13 at y1682, +9 at y1721, +6 from
# y1734 on. That bend south of town centre is the one the owner describes.
#
# THIS WAS BRIEFLY STRAIGHTENED IN ERROR on 2026-08-03 and put back the same day. The
# argument for straightening was that the way carries `tiger:reviewed = no` and
# `tiger:county = Iroquois, IL` while Rossville is in Vermilion, and that every other
# street in town is square to two or three degrees. All of that is true and none of it
# matters: the owner has driven this road his whole life and it curves, and the
# Hubbard Trail explains exactly why a square town has a diagonal highway through it.
# The buildings were what needed moving, not the road.
road chicago 30 313,0 370,177 465,470 592,855 674,1109 746,1332 775,1423 798,1491 838,1607 856,1687 862,1740 871,1876 880,2049 898,2399
  class mainroad
road attica 30 0,1353 2099,1353
  class mainroad

# ---- the village streets --------------------------------------------------
# EXTENTS ARE REAL, 2026-08-03. Every one of these used to run the identical span -
# north-south streets y699..2240 and east-west x496..1530, a 1,034 x 1,541 m stencil
# with every street starting and stopping together and running out into open field at
# all four edges. No platted town does that; a grid frays at its edges.
#
# The spans below come from OpenStreetMap's mapping of the town streets, which is a
# different thing from the unreviewed TIGER way that carries Route 1 (see the Chicago
# Street note above) but is NOT independently confirmed. Read that carefully:
#
#   POSITIONS are confirmed. Every street's fixed coordinate agrees with
#   tools/rossville-streets.json - a separate source of real latitudes and longitudes -
#   to within 3 to 7 metres. Abner -221 against -224, Harrison +107 against +104,
#   Church +216 against +213. Two sources, one answer.
#
#   EXTENTS are NOT confirmed. They rest on OSM alone. An attempt to corroborate them
#   against the county parcels failed and was thrown out: the parcels tile the whole
#   township including open farmland, so "there are lots beside this line" is true
#   everywhere and distinguishes nothing.
#
# They are used anyway because the thing they replace is worse and the error is in the
# safe direction - a street that stops too soon leaves a gap, where the old stencil ran
# every street 1.5 km into a cornfield. The 1940 aerial in docs/research/photos is the
# document that could settle it; nothing has yet managed to georeference it well enough.
#
# How wrong the old spans were, on OSM's reading:
#
#     Abner     declared 1541 m   real   99 m   15.6x
#     Goodwine  declared 1541 m   real  128 m   12.1x
#     Watson    declared 1541 m   real  145 m   10.6x
#     Ann       declared 1541 m   real  293 m    5.3x
#     York      declared 1034 m   real  282 m    3.7x
#     Summit    declared 1541 m   real 1377 m    1.1x
#
# Ends are snapped to a crossing street where they stopped within 45 m of one, so no
# road dead-ends a few metres short of the junction it obviously makes.
#
# ABNER AND WATSON ARE GONE, and that is a judgement call worth stating. They are real
# streets - 99 m and 145 m of it - on the west side, and their positions were right.
# But nothing in the data connects them to anything: the east-west streets they would
# meet do not reach that far west either, once those are cut to their real length. An
# isolated road is forbidden here (see the section-road note below: its traffic drives
# off the tarmac and out of the world), so rather than invent a connection they are
# left out until something shows what they join. The likeliest answer is one of the
# unnamed residential ways OSM has in that corner.
# 10m corridors, unmarked, which is what a residential street in a village of
# thirteen hundred is. Offsets are metres from the crossroads.
road ann 4 689,1335 689,1634   # -64m, Smith Drive
  class alley
road harrison 10 832,729 832,1099 902,1357   # +104m
  class street
road church 10 975,846 975,2104   # +213m
  class street
road summit 10 1163,846 1163,2228   # +399m
  class street
road grove 10 1348,846 1348,2210   # +580m
  class street
road goodwine 10 1531,1209 1531,1356   # +750m, Creative Avenue
  class street
road york 10 526,726 806,726   # +606m
  class street
road henderson 10 572,849 1351,849   # +489m
  class street
road green 10 659,1008 699,1000 739,987 779,979 819,977 859,976 909,975 949,975 989,975 1029,974 1169,962 1209,963 1259,963 1299,964 1359,965 1399,965 1418,965   # +353m
  class street
road benton 10 708,1136 718,1135 728,1135 738,1133 748,1129 768,1121 778,1117 788,1113 798,1113 808,1111 818,1108 848,1102 858,1102 868,1102 878,1102 888,1102 898,1101 908,1101 918,1101 928,1101 938,1101 948,1101 958,1101 988,1100 1018,1099 1426,1099   # +222m
  class street
road holmes 10 829,1226 1534,1226   # +126m
  class street
road maple 10 791,1478 1351,1478   # -143m, Park Place west of Route 1
  class street
road gilbert 10 834,1603 1446,1603   # -248m, Perry west of Route 1
  class street
road stewart 10 854,1728 1500,1728   # -387m, Stufflebeam west of Route 1
  class street
road mckibben 10 854,1853 1592,1853   # -518m, McKibbin west of Route 1
  class street
road dale 10 874,1980 1351,1980   # -636m
  class street
road greenwood 10 526,2032 906,2032   # -699m
  class street
road thompson 10 880,2101 1351,2101   # -758m
  class street
road earlcourt 10 1068,2225 1330,2225   # -875m
  class street



# ---- the street that follows the rail --------------------------------------
# RAILROAD AVENUE IS NOT ON THE GRID, and that is the point of it. It runs at
# +36.4 degrees off north-south; the CSX line through the same ground runs 33.9.
# Parallel within two and a half degrees, because it is the street that serves
# the track.
#
# The 1940 aerial says the same thing from the air: industry is strung along the
# rail at the south-east in large sheds set at THE RAIL'S angle rather than the
# street grid's, while the houses stay cardinal. This is the road that serves
# those sheds, and the town has been built without it until now.
#
# It was missing from BOTH sources. tools/rossville-streets.json holds 29
# streets and this is not one of them - that file gives a single latitude or
# longitude per street, which cannot express a diagonal, so a road like this one
# could never have been in it. Found by widening to OpenStreetMap, which has it
# as two ways (22031735 residential, 22031737 unclassified). Geometry is theirs.
road railroad 10 1379,1594 1447,1696 1462,1718 1529,1818 1531,1832 1561,1837 1581,1843 1598,1863 1772,2124 1810,2181
  class street

# ---- the alleys ------------------------------------------------------------
# A MIDWESTERN PLATTED TOWN IS SPLIT DOWN THE MIDDLE OF EVERY BLOCK, and without
# these the blocks are twice the depth they should be and every lot backs onto
# another lot instead of onto a lane. It is where the outbuildings face, where the
# bins and the garages are reached from, and where somebody can cross a block
# without using a street - which for a game about who saw whom is not a detail.
#
# TWO INDEPENDENT SOURCES, which is why these went in when the street extents took
# an argument. The 1940 USDA aerial shows a weaker bright line exactly halfway
# between every pair of streets - streets at 117 m, an alley at ~58 m - and
# OpenStreetMap has sixteen of them mapped separately as `service=alley`. The two
# agree on position; the offsets below are 31 to 91 m off the nearest street,
# which is mid-block for a 117 m block.
#
# FOUR METRES, on its own road class. These first went in at ten - the Track width -
# and every block read as though it had a second street down the middle of it. Six
# was the next try and was still a residential street: twenty feet. A platted alley
# here is a sixteen-foot right of way with about ten feet of gravel run down the
# middle, so the corridor is four metres and CityStreets squeezes the dirt tile -
# which is 7.1 m across whatever it is asked to be - to half its width for alleys
# alone. They lay in dirt with no markings and no crosswalks, which is what an alley
# behind a house looks like.
#
# One OSM alley was dropped: it lies exactly on Greenwood Street rather than
# mid-block, so it is Greenwood, not an alley beside it.
road alley1 4 801,1096 801,1483   # NS, -31m off x=854
  class alley
road alley2 4 902,974 902,1113   # NS, +37m off x=854. Shifted 2m west 2026-08-03: at 893 it
                                  # ran through 204 E Green Ave and 203 E Benton Ave.
  class alley
road alley3 4 923,1473 923,1731   # NS, -27m off x=963. Shifted 8m east 2026-08-03 - it was
                                  # laid across the houses on this block, not behind them.
  class alley
road alley4 4 1066,974 1066,1483   # NS, -97m off x=1149. Shifted 6m west 2026-08-03.
  class alley
road alley5 4 1071,1473 1071,2104   # NS, -71m off x=1149. Shifted 1m west 2026-08-03.
  class alley
road alley6 4 829,1163 1166,1163   # EW, +44m off y=1113
  class alley
road alley7 4 1248,846 1248,1229   # NS, -90m off x=1330
  class alley
road alley8 4 1257,1473 1257,2183   # NS, -66m off x=1330. Shifted 5m west 2026-08-03 - the
                                  # worst of them, 60 samples of alley laid over houses.
  class alley
road alley9 4 829,1289 1166,1289   # EW, -52m off y=1335
  class alley
road alley10 4 820,1415 1166,1415   # EW, -68m off y=1478
  class alley
road alley11 4 1436,1209 1436,1356   # NS, -63m off x=1500
  class alley
road alley12 4 602,1428 780,1428   # EW, -35m off y=1478
  class alley
road alley13 4 813,1541 1166,1541   # EW, -47m off y=1583
  class alley
road alley14 4 849,1667 1166,1667   # EW, -59m off y=1722
  class alley
road alley15 4 1149,1791 1351,1791   # EW, +54m off y=1722
  class alley

# ---- the section roads -----------------------------------------------------
# NO SIMULATED RAILROAD AVENUE. The real CSX line is diagonal - it crosses barely
# 130m east of Chicago Street up at York and opens past 1,100m by Earlcourt - and
# the engine's roads are axis-aligned only, so any single vertical line drawn for
# it is wrong for most of the town's latitude by construction. It used to be a
# flat +900m guess, and a quarter of the village's houses turned out to be on the
# wrong side of the real track for their row because of it. The real alignment is
# drawn instead as a `rail` feature in features.txt, pulled from OpenStreetMap,
# which CAN follow the real diagonal because it is decoration and not a road a
# person or a car is simulated walking on. RAILROAD the constant survives, for the
# elevator's siting below, but nothing paves a road along it any more.
#
# The country is surveyed on a mile grid and the gravel section roads follow the
# section lines. Each crosses a main road, so none is an island - an isolated road
# has lanes and no junction at either end, and its traffic drives off the tarmac
# and out of the world.
# THESE FOUR NAMES ARE PLACEHOLDERS AND SHOULD LOOK LIKE IT.
# Vermilion County numbers its rural roads on the Illinois grid - East 3550
# North Road, 3330 North Road, 1050 East Road - where the number is distance
# from a baseline in hundreds of feet. In the fields a road is a number; in town
# it is a surname.
#
# We have exactly ONE anchor: OSM puts `East 3550 North Road` at y 1308-1326,
# eighteen metres off Attica Street, running west off the map. That is not a
# separate road - it is ATTICA'S RURAL CONTINUATION, the same relationship
# Chicago Street has with Route 1, on the other axis.
#
# One anchor is not a grid. The blotter also names 3330 North Road, but that
# would sit some 6.7 km from 3550 on a straight hundreds-of-feet reading, well
# off a 2.4 km map - so either the numbering is not uniform here or those roads
# are outside our bounds, and nothing available settles which. The owner does
# not know the local numbers either.
#
# So they stay `section0` and `crossroad0`. A convincing invented number is
# worse than an obvious placeholder: it would read as researched and be fiction,
# which is exactly how the TIGER curve cost two days.

# ==========================================================================
#  THE 100 BLOCKS OF NORTH AND SOUTH CHICAGO STREET
# ==========================================================================

place casino 694,1282 22x35 "Rossville unit 35"
  door 715,1299
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Opera House", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "casino", which is what drives jobs, hours and what people do here.
place shop 684,1258 22x22 "Rossville unit 36"
  door 705,1269
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "vacant - was the Motion Picture house", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place bank 675,1227 22x29 "Rossville unit 1"
  door 696,1241
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Rossville bank", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "bank", which is what drives jobs, hours and what people do here.
place precinct 660,1166 18x35 "Rossville unit 2"
  door 677,1183
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the village office", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "precinct", which is what drives jobs, hours and what people do here.
place villagehall 652,1138 16x26 "Rossville unit 3"
  door 667,1151
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the I.O.O.F. hall", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "villagehall", which is what drives jobs, hours and what people do here.
place villagehall 757,1291 16x26 "Rossville unit 4"
  door 757,1304
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the G.A.R. hall", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "villagehall", which is what drives jobs, hours and what people do here.
place shop 749,1271 20x18 "Rossville unit 5"
  door 749,1280
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "Henderson's", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 742,1245 14x24 "Rossville unit 6"
  door 742,1257
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Attica Street market", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place tavern 734,1221 14x22 "Rossville unit 7"
  door 734,1232
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Livingood House", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "tavern", which is what drives jobs, hours and what people do here.
place tavern 720,1179 14x22 "Rossville unit 8"
  door 720,1190
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Commercial Hotel", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "tavern", which is what drives jobs, hours and what people do here.
place tavern 712,1155 12x22 "Rossville unit 9"
  door 712,1166
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the grain office", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "tavern", which is what drives jobs, hours and what people do here.
place postoffice 706,1137 14x16 "Rossville unit 10"
  door 706,1145
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "Rossville Post Office", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "postoffice", which is what drives jobs, hours and what people do here.
place diner 726,1371 11x20 "Rossville unit 11"
  door 736,1381
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Chicago Street diner", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "diner", which is what drives jobs, hours and what people do here.
place gasstation 714,1370 11x20 "Rossville unit 12"
  door 724,1380
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the pumps", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "gasstation", which is what drives jobs, hours and what people do here.
place shop 737,1397 12x16 "Rossville unit 13"
  door 748,1405
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the drug store", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 743,1415 12x16 "Rossville unit 14"
  door 754,1423
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the bakery", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 750,1433 12x16 "Rossville unit 15"
  door 761,1441
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "vacant storefront - was the printing office", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 755,1451 12x16 "Rossville unit 16"
  door 766,1459
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the hardware", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 767,1486 12x16 "Rossville unit 17"
  door 778,1494
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the grocer", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 773,1504 12x16 "Rossville unit 18"
  door 784,1512
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "vacant storefront - was the millinery", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 779,1522 12x16 "Rossville unit 19"
  door 790,1530
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "vacant storefront - was the confectionery", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 786,1540 12x16 "Rossville unit 20"
  door 797,1548
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "vacant storefront - was the general merchandise", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place postoffice 792,1558 12x16 "Rossville unit 21"
  door 803,1566
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the north sub-office", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "postoffice", which is what drives jobs, hours and what people do here.
place icecream 804,1371 11x16 "Rossville unit 22"
  door 804,1379
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the ice cream parlour", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "icecream", which is what drives jobs, hours and what people do here.
place shop 781,1371 10x13 "Rossville unit 23"
  door 781,1377
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the jeweller", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 785,1386 10x13 "Rossville unit 24"
  door 785,1392
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the meat market", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place shop 790,1401 10x13 "Rossville unit 25"
  door 790,1407
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the barber", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place laundry 794,1416 13x10 "Rossville unit 26"
  door 794,1421
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the laundromat", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "laundry", which is what drives jobs, hours and what people do here.
place restroom 799,1428 8x14 "Rossville unit 27"
  door 799,1435
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the rest room", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "restroom", which is what drives jobs, hours and what people do here.
place shop 804,1444 10x11 "Rossville unit 28"
  door 804,1449
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "vacant storefront - was the second drug store", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "shop", which is what drives jobs, hours and what people do here.
place apartment 818,1486 8x6 "the rooms over Rossville unit 17"
  door 818,1489
  units 3
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the rooms over the grocer", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "apartment", which is what drives jobs, hours and what people do here.
place apartment 821,1494 8x6 "the rooms over Rossville unit 24"
  door 821,1497
  units 3
place apartment 823,1502 8x6 "the rooms over Rossville unit 25"
  door 823,1505
  units 3
place apartment 826,1510 8x6 "the rooms over Rossville unit 26"
  door 826,1513
  units 3

# ---- the school, the firehouse, the elevator, the water tower --------------
# The fire station is at the north end because Rossville's new one is. The elevator
# stands near where the real CSX line runs - there is no simulated road for the
# tracks any more, see RAILROAD above, only the siting constant and the decorative
# `rail` feature in features.txt.

place firestation 694,734 28x27 "Rossville unit 37"
  door 708,760
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Rossville fire house", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "firestation", which is what drives jobs, hours and what people do here.
# THE HIGH SCHOOL IS WEST OF CHICAGO, AND THE COUNTY ALWAYS SAID SO. The map had
# the two schools swapped until 2026-08-12, when the owner handed the PIN across
# the table: 08-11-603-004 is parcel 641, tax exempt, west of Chicago Street,
# carrying FEMA's one measured 4,314 m2 civic building - his words, "back then
# and today". The old declarations put a 47x18 "grade school" box on top of that
# very footprint and invented a 60x38 high school on the east block the county
# classes as commercial ground with nothing standing on it.
#
# ONE PLACE, NOT THREE, AND THE FIRST ATTEMPT PROVED WHY. The footprint is an
# L-complex - main block, east arm, south wing - and it was first declared here
